Date,Time,Source IP Address,Destination IP Address,Destination port
Jan 29,00:00:28,24.64.208.134,24128 ,1
Jan 29,00:00:28,24.64.208.134,24128 ,1
Jan 29,00:00:28,24.64.208.134,24128 ,1
Jan 29,00:02:42,192.168.17.24,138 ,1
Jan 29,00:02:42,192.168.17.24,138 ,1
Jan 29,00:02:42,192.168.17.24,138 ,1
Jan 29,00:02:42,192.168.17.24,138 ,1
Jan 29,00:06:00,192.168.17.24,138 ,1
Jan 29,00:06:00,192.168.17.24,138 ,1
Jan 29,00:06:00,192.168.17.24,138 ,1
Jan 29,00:06:00,192.168.17.24,138 ,1
Jan 29,00:07:56,24.64.234.162,19422 ,1
Jan 29,00:07:56,24.64.234.162,19422 ,1
Jan 29,00:07:56,24.64.234.162,19422 ,1
Jan 29,00:09:00,192.168.17.24,138 ,1
Jan 29,00:09:00,192.168.17.24,138 ,1
Jan 29,00:09:00,192.168.17.24,138 ,1
Jan 29,00:09:00,192.168.17.24,138 ,1
Jan 29,00:09:30,207.24.89.66,45339 ,1
Jan 29,00:11:18,192.168.17.11,123 ,1
Jan 29,00:11:54,192.168.17.24,138 ,1
Jan 29,00:11:54,192.168.17.24,138 ,1
Jan 29,00:11:54,192.168.17.24,138 ,1
Jan 29,00:11:54,192.168.17.24,138 ,1
Jan 29,00:14:56,192.168.17.24,138 ,1
Jan 29,00:14:56,192.168.17.24,138 ,1
Jan 29,00:14:56,192.168.17.24,138 ,1
Jan 29,00:14:56,192.168.17.24,138 ,1
Jan 29,00:16:10,24.64.136.199,11340 ,1
Jan 29,00:18:14,192.168.17.24,138 ,1
Jan 29,00:18:14,192.168.17.24,138 ,1
Jan 29,00:18:14,192.168.17.24,138 ,1
Jan 29,00:18:14,192.168.17.24,138 ,1
Jan 29,00:21:14,192.168.17.24,138 ,1
Jan 29,00:21:14,192.168.17.24,138 ,1
Jan 29,00:21:14,192.168.17.24,138 ,1
Jan 29,00:21:14,192.168.17.24,138 ,1
Jan 29,00:22:01,216.51.106.52,3264 ,1
Jan 29,00:24:11,192.168.17.24,138 ,1
Jan 29,00:24:11,192.168.17.24,138 ,1
Jan 29,00:24:11,192.168.17.24,138 ,1
Jan 29,00:24:11,192.168.17.24,138 ,1
Jan 29,00:27:12,192.168.17.24,138 ,1
Jan 29,00:27:12,192.168.17.24,138 ,1
Jan 29,00:27:12,192.168.17.24,138 ,1
Jan 29,00:27:12,192.168.17.24,138 ,1
Jan 29,00:28:06,216.51.106.52,1725 ,1
Jan 29,00:28:26,192.168.17.11,123 ,1
Jan 29,00:30:22,192.168.17.24,138 ,1
Jan 29,00:30:22,192.168.17.24,138 ,1
Jan 29,00:30:22,192.168.17.24,138 ,1
Jan 29,00:30:22,192.168.17.24,138 ,1
Jan 29,00:33:27,192.168.17.24,138 ,1
Jan 29,00:33:27,192.168.17.24,138 ,1
Jan 29,00:33:27,192.168.17.24,138 ,1
Jan 29,00:33:27,192.168.17.24,138 ,1
Jan 29,00:36:24,192.168.17.24,138 ,1
Jan 29,00:36:24,192.168.17.24,138 ,1
Jan 29,00:36:24,192.168.17.24,138 ,1
Jan 29,00:36:24,192.168.17.24,138 ,1
Jan 29,00:37:35,106.108.177.47,31105 ,1
Jan 29,00:39:24,192.168.17.24,138 ,1
Jan 29,00:39:24,192.168.17.24,138 ,1
Jan 29,00:39:24,192.168.17.24,138 ,1
Jan 29,00:39:24,192.168.17.24,138 ,1
Jan 29,00:40:44,24.64.216.116,14802 ,1
Jan 29,00:40:44,24.64.216.116,14802 ,1
Jan 29,00:40:44,24.64.216.116,14802 ,1
Jan 29,00:42:36,192.168.17.24,138 ,1
Jan 29,00:42:36,192.168.17.24,138 ,1
Jan 29,00:42:36,192.168.17.24,138 ,1
Jan 29,00:42:36,192.168.17.24,138 ,1
Jan 29,00:43:48,121.14.136.101,6000 ,1
Jan 29,00:45:30,192.168.17.11,123 ,1
Jan 29,00:45:41,192.168.17.24,138 ,1
Jan 29,00:45:41,192.168.17.24,138 ,1
Jan 29,00:45:41,192.168.17.24,138 ,1
Jan 29,00:45:41,192.168.17.24,138 ,1
Jan 29,00:45:47,162.86.171.88,31105 ,1
Jan 29,00:46:05,24.64.125.106,23816 ,1
Jan 29,00:48:41,192.168.17.24,138 ,1
Jan 29,00:48:41,192.168.17.24,138 ,1
Jan 29,00:48:41,192.168.17.24,138 ,1
Jan 29,00:48:41,192.168.17.24,138 ,1
Jan 29,00:51:17,24.64.232.7,33255 ,1
Jan 29,00:51:17,24.64.232.7,33255 ,1
Jan 29,00:51:17,24.64.232.7,33255 ,1
Jan 29,00:51:41,192.168.17.24,138 ,1
Jan 29,00:51:41,192.168.17.24,138 ,1
Jan 29,00:51:41,192.168.17.24,138 ,1
Jan 29,00:51:41,192.168.17.24,138 ,1
Jan 29,00:52:15,24.64.240.226,33574 ,1
Jan 29,00:52:15,24.64.240.226,33574 ,1
Jan 29,00:52:15,24.64.240.226,33574 ,1
Jan 29,00:54:02,60.87.149.61,31105 ,1
Jan 29,00:54:49,192.168.17.24,138 ,1
Jan 29,00:54:49,192.168.17.24,138 ,1
Jan 29,00:54:49,192.168.17.24,138 ,1
Jan 29,00:54:49,192.168.17.24,138 ,1
Jan 29,00:55:18,24.64.31.188,24255 ,1
Jan 29,00:55:18,24.64.31.188,24255 ,1
Jan 29,00:55:18,24.64.31.188,24255 ,1
Jan 29,00:55:24,163.140.169.38,31105 ,1
Jan 29,00:57:44,192.168.17.24,138 ,1
Jan 29,00:57:44,192.168.17.24,138 ,1
Jan 29,00:57:44,192.168.17.24,138 ,1
Jan 29,00:57:44,192.168.17.24,138 ,1
Jan 29,00:57:53,113.22.125.157,31105 ,1
Jan 29,01:00:50,192.168.17.24,138 ,1
Jan 29,01:00:50,192.168.17.24,138 ,1
Jan 29,01:00:50,192.168.17.24,138 ,1
Jan 29,01:00:50,192.168.17.24,138 ,1
Jan 29,01:02:38,192.168.17.11,123 ,1
Jan 29,01:03:49,192.168.17.24,138 ,1
Jan 29,01:03:49,192.168.17.24,138 ,1
Jan 29,01:03:49,192.168.17.24,138 ,1
Jan 29,01:03:49,192.168.17.24,138 ,1
Jan 29,01:06:59,192.168.17.24,138 ,1
Jan 29,01:06:59,192.168.17.24,138 ,1
Jan 29,01:06:59,192.168.17.24,138 ,1
Jan 29,01:06:59,192.168.17.24,138 ,1
Jan 29,01:07:08,63.167.69.69,31105 ,1
Jan 29,01:09:58,192.168.17.24,138 ,1
Jan 29,01:09:58,192.168.17.24,138 ,1
Jan 29,01:09:58,192.168.17.24,138 ,1
Jan 29,01:09:58,192.168.17.24,138 ,1
Jan 29,01:13:04,192.168.17.24,138 ,1
Jan 29,01:13:04,192.168.17.24,138 ,1
Jan 29,01:13:04,192.168.17.24,138 ,1
Jan 29,01:13:04,192.168.17.24,138 ,1
Jan 29,01:16:04,192.168.17.24,138 ,1
Jan 29,01:16:04,192.168.17.24,138 ,1
Jan 29,01:16:04,192.168.17.24,138 ,1
Jan 29,01:16:04,192.168.17.24,138 ,1
Jan 29,01:18:10,24.64.35.180,31138 ,1
Jan 29,01:18:10,24.64.35.180,31138 ,1
Jan 29,01:18:10,24.64.35.180,31138 ,1
Jan 29,01:19:13,192.168.17.24,138 ,1
Jan 29,01:19:13,192.168.17.24,138 ,1
Jan 29,01:19:13,192.168.17.24,138 ,1
Jan 29,01:19:13,192.168.17.24,138 ,1
Jan 29,01:19:23,24.64.103.146,16356 ,1
Jan 29,01:19:23,24.64.103.146,16356 ,1
Jan 29,01:19:23,24.64.103.146,16356 ,1
Jan 29,01:19:29,137.1.220.101,31105 ,1
Jan 29,01:19:45,192.168.17.11,123 ,1
Jan 29,01:22:11,192.168.17.24,138 ,1
Jan 29,01:22:11,192.168.17.24,138 ,1
Jan 29,01:22:11,192.168.17.24,138 ,1
Jan 29,01:22:11,192.168.17.24,138 ,1
Jan 29,01:25:18,192.168.17.24,138 ,1
Jan 29,01:25:18,192.168.17.24,138 ,1
Jan 29,01:25:18,192.168.17.24,138 ,1
Jan 29,01:25:18,192.168.17.24,138 ,1
Jan 29,01:28:14,192.168.17.24,138 ,1
Jan 29,01:28:14,192.168.17.24,138 ,1
Jan 29,01:28:14,192.168.17.24,138 ,1
Jan 29,01:28:14,192.168.17.24,138 ,1
Jan 29,01:28:22,129.134.110.94,31105 ,1
Jan 29,01:31:14,192.168.17.24,138 ,1
Jan 29,01:31:14,192.168.17.24,138 ,1
Jan 29,01:31:14,192.168.17.24,138 ,1
Jan 29,01:31:14,192.168.17.24,138 ,1
Jan 29,01:34:21,192.168.17.24,138 ,1
Jan 29,01:34:21,192.168.17.24,138 ,1
Jan 29,01:34:21,192.168.17.24,138 ,1
Jan 29,01:34:21,192.168.17.24,138 ,1
Jan 29,01:36:52,192.168.17.11,123 ,1
Jan 29,01:37:31,192.168.17.24,138 ,1
Jan 29,01:37:31,192.168.17.24,138 ,1
Jan 29,01:37:31,192.168.17.24,138 ,1
Jan 29,01:37:31,192.168.17.24,138 ,1
Jan 29,01:40:26,192.168.17.24,138 ,1
Jan 29,01:40:26,192.168.17.24,138 ,1
Jan 29,01:40:26,192.168.17.24,138 ,1
Jan 29,01:40:26,192.168.17.24,138 ,1
Jan 29,01:43:27,192.168.17.24,138 ,1
Jan 29,01:43:27,192.168.17.24,138 ,1
Jan 29,01:43:27,192.168.17.24,138 ,1
Jan 29,01:43:27,192.168.17.24,138 ,1
Jan 29,01:46:36,192.168.17.24,138 ,1
Jan 29,01:46:36,192.168.17.24,138 ,1
Jan 29,01:46:36,192.168.17.24,138 ,1
Jan 29,01:46:36,192.168.17.24,138 ,1
Jan 29,01:48:13,221.208.208.90,38015 ,1
Jan 29,01:48:13,221.208.208.90,38015 ,1
Jan 29,01:48:14,221.208.208.90,38015 ,1
Jan 29,01:48:19,109.140.157.77,31105 ,1
Jan 29,01:49:34,192.168.17.24,138 ,1
Jan 29,01:49:34,192.168.17.24,138 ,1
Jan 29,01:49:34,192.168.17.24,138 ,1
Jan 29,01:49:34,192.168.17.24,138 ,1
Jan 29,01:50:06,77.91.200.130,58376 ,1
Jan 29,01:52:40,192.168.17.24,138 ,1
Jan 29,01:52:40,192.168.17.24,138 ,1
Jan 29,01:52:40,192.168.17.24,138 ,1
Jan 29,01:52:40,192.168.17.24,138 ,1
Jan 29,01:53:56,192.168.17.11,123 ,1
Jan 29,01:55:35,192.168.17.24,138 ,1
Jan 29,01:55:35,192.168.17.24,138 ,1
Jan 29,01:55:35,192.168.17.24,138 ,1
Jan 29,01:55:35,192.168.17.24,138 ,1
Jan 29,01:58:36,192.168.17.24,138 ,1
Jan 29,01:58:36,192.168.17.24,138 ,1
Jan 29,01:58:36,192.168.17.24,138 ,1
Jan 29,01:58:36,192.168.17.24,138 ,1
Jan 29,02:00:20,24.64.65.201,26100 ,1
Jan 29,02:00:20,24.64.65.201,26100 ,1
Jan 29,02:00:20,24.64.65.201,26100 ,1
Jan 29,02:01:54,192.168.17.24,138 ,1
Jan 29,02:01:54,192.168.17.24,138 ,1
Jan 29,02:01:54,192.168.17.24,138 ,1
Jan 29,02:01:54,192.168.17.24,138 ,1
Jan 29,02:04:54,192.168.17.24,138 ,1
Jan 29,02:04:54,192.168.17.24,138 ,1
Jan 29,02:04:54,192.168.17.24,138 ,1
Jan 29,02:04:54,192.168.17.24,138 ,1
Jan 29,02:07:53,192.168.17.24,138 ,1
Jan 29,02:07:53,192.168.17.24,138 ,1
Jan 29,02:07:53,192.168.17.24,138 ,1
Jan 29,02:07:53,192.168.17.24,138 ,1
Jan 29,02:11:03,192.168.17.11,123 ,1
Jan 29,02:11:03,192.168.17.24,138 ,1
Jan 29,02:11:03,192.168.17.24,138 ,1
Jan 29,02:11:03,192.168.17.24,138 ,1
Jan 29,02:11:03,192.168.17.24,138 ,1
Jan 29,02:11:22,5.126.53.110,31105 ,1
Jan 29,02:13:10,211.200.56.60,1265 ,1
Jan 29,02:13:13,211.200.56.60,1265 ,1
Jan 29,02:14:08,192.168.17.24,138 ,1
Jan 29,02:14:08,192.168.17.24,138 ,1
Jan 29,02:14:08,192.168.17.24,138 ,1
Jan 29,02:14:08,192.168.17.24,138 ,1
Jan 29,02:14:35,52.52.117.156,31105 ,1
Jan 29,02:17:08,192.168.17.24,138 ,1
Jan 29,02:17:08,192.168.17.24,138 ,1
Jan 29,02:17:08,192.168.17.24,138 ,1
Jan 29,02:17:08,192.168.17.24,138 ,1
Jan 29,02:19:28,69.31.42.66,39339 ,1
Jan 29,02:20:04,192.168.17.24,138 ,1
Jan 29,02:20:04,192.168.17.24,138 ,1
Jan 29,02:20:04,192.168.17.24,138 ,1
Jan 29,02:20:04,192.168.17.24,138 ,1
Jan 29,02:20:17,218.9.66.130,1845 ,1
Jan 29,02:23:01,24.64.139.148,29246 ,1
Jan 29,02:23:01,24.64.139.148,29246 ,1
Jan 29,02:23:01,24.64.139.148,29246 ,1
Jan 29,02:23:04,192.168.17.24,138 ,1
Jan 29,02:23:04,192.168.17.24,138 ,1
Jan 29,02:23:04,192.168.17.24,138 ,1
Jan 29,02:23:04,192.168.17.24,138 ,1
Jan 29,02:23:25,65.120.86.12,53 ,1
Jan 29,02:25:39,193.47.121.71,31105 ,1
