Date,Time,Source IP Address,Destination IP Address,Destination port
Jan 29,04:34:43,24.165.92.109,9541 ,4
Jan 29,04:35:31,71.206.130.118,3134 ,4
Jan 29,04:35:43,71.206.130.118,3135 ,4
Jan 29,04:44:57,195.205.8.254,6346 ,4
Jan 29,04:44:58,195.205.8.254,6346 ,4
Jan 29,04:44:59,195.205.8.254,6346 ,4
Jan 29,04:45:00,195.205.8.254,6346 ,4
Jan 29,04:45:01,195.205.8.254,6346 ,4
Jan 29,04:58:54,75.121.38.232,37293 ,4
Jan 29,05:53:11,220.64.219.189,6000 ,4
Jan 29,06:02:09,80.207.16.18,10435 ,4
Jan 29,06:02:11,80.207.16.18,10435 ,4
Jan 29,06:02:11,80.207.16.18,10435 ,4
Jan 29,06:02:13,80.207.16.18,10435 ,4
Jan 29,06:02:14,80.207.16.18,10435 ,4
Jan 29,07:26:33,99.233.139.230,55119 ,4
Jan 29,07:26:36,99.233.139.230,55119 ,4
Jan 29,07:26:39,99.233.139.230,55121 ,4
Jan 29,07:26:42,99.233.139.230,55121 ,4
Jan 29,07:26:42,99.233.139.230,55119 ,4
Jan 29,11:17:19,89.49.78.88,61731 ,4
Jan 29,11:17:19,89.49.78.88,61731 ,4
Jan 29,11:17:20,89.49.78.88,61731 ,4
Jan 29,11:17:21,89.49.78.88,61731 ,4
Jan 29,11:17:22,89.49.78.88,61731 ,4
Jan 29,12:18:21,79.185.83.220,6346 ,4
Jan 29,12:18:22,79.185.83.220,6346 ,4
Jan 29,12:18:23,79.185.83.220,6346 ,4
Jan 29,12:18:24,79.185.83.220,6346 ,4
Jan 29,12:18:25,79.185.83.220,6346 ,4
Jan 29,12:47:15,201.211.103.168,1477 ,4
Jan 29,12:47:18,201.211.103.168,1477 ,4
Jan 29,12:47:24,201.211.103.168,1477 ,4
